query,video_id,title,description,publishedAt,channelTitle,location,video_url,viewCount,likeCount,commentCount,comments,TaxonName,query_normalized,created_at,lang_detected,Region_all,created_raw,regionCode,source_flag,species_normalized,search_term_normalized,Region_all.x,Region,LifeForm,PresentStatus,FirstRecord,Region_all.y,CleanName,full_description_lower,FirstRecordDate,time_period,is_iberian
Acridotheres cristatellus,arHU-e2gM-E,Mainá-de-Crista (Acridotheres cristatellus),"Este passeriforme, nativo da China, foi introduzido perto de Lisboa há cerca de 25 anos e desde então tem vindo a expandir-se ...",2024-12-27T22:46:42Z,Natureza,"40.0, -3.7",https://www.youtube.com/watch?v=arHU-e2gM-E,179.0,3.0,0.0,,Acridotheres_cristatellus,Acridotheres cristatellus,2024-12-27T22:46:42Z,pt,Portugal,2024-12-27 22:46:42,,GEO,,,,,Birds,established,2007.0,,,,2007-06-01T12:00:00Z,After,True
Aedes aegypti,LrBv0dNzBus,"EL COMENTARIO, SÍNTOMAS DEL DENGUE.","El dengue es una enfermedad viral transmitida por la picadura del mosquito Aedes aegypti, especialmente en zonas tropicales y ...",2025-08-18T19:00:06Z,EL COMENTARIO por Agustin Sancho  Cubero,"40.0, -3.7",https://www.youtube.com/watch?v=LrBv0dNzBus,0.0,0.0,0.0,,Aedes_aegypti,Aedes aegypti,2025-08-18T19:00:06Z,es,Spain,2025-08-18 19:00:06,,GEO,,,,,Insects,established,2006.0,,,,2006-06-01T12:00:00Z,After,True
Aedes aegypti,72MQlmOUYqw,Continúa la investigación de las larvas &#39;Aedes aegypti&#39; encontradas en La Palma // Periodismo ULL,El personal investigador del Instituto Universitario de Enfermedades Tropicales realiza investigaciones en la Isla tras el hallazgo ...,2022-04-02T13:00:03Z,Periodismo ULL,"28.3, -16.6",https://www.youtube.com/watch?v=72MQlmOUYqw,69.0,1.0,0.0,,Aedes_aegypti,Aedes aegypti,2022-04-02T13:00:03Z,es,Spain,2022-04-02 13:00:03,,GEO,,,,,Insects,established,2006.0,,,,2006-06-01T12:00:00Z,After,True
Aedes aegypti,apDIyLVrxzo,Alerta por la presencia del mosquito Aedes Aegypti en La Palma,Sanidad insta a la población de #LaPalma a notificar sospechas de picaduras de #mosquitos al correo ...,2022-04-13T12:24:57Z,Canarias Noticias,"28.3, -16.6",https://www.youtube.com/watch?v=apDIyLVrxzo,2728.0,236.0,32.0,"Nos himbaden hasta los bichos | ¿Habrá venido por patera?... | Con guppys en los estanques presas u envases puede ser una gran ayuda para su erradicación, por eso le llaman pez mosquito | Ay, muchísimas gracias por el aviso!!!!🙏🙏🙏 | Ahora que nos quitan la mascarilla nos pondran calcetines largos | Perro, el loco traídor no para de meter mierda descontrolada a nuestro país. Demasiado | meteros en casa que os va apicar | seguid metiendo miedo perrodistas | A ver, cómo es posible q la isla más occidental del archipiélago, la más alejada de África, pueda tan siquiera tener la posibilidad de q hayan mosquitos de éstos...

Casualidades las justas🤬 | ES SEMANA SANTA PARA QUE NO RECE NADIE Y GANE SATAN ESTA GUERRA EPIRITUAL",Aedes_aegypti,Aedes aegypti,2022-04-13T12:24:57Z,es,Spain,2022-04-13 12:24:57,,GEO,,,,,Insects,established,2006.0,,,,2006-06-01T12:00:00Z,After,True
Agapornis fischeri,ZOi4AcAYmZU,Agapornis FISCHERI OPALINO verde EUWING. TOP Fischeri.,Precioso ejemplar. HEMBRA Fischeri OPALINO euwing verde. TOP FISCHERI. Aviario Rojo. Todo un lujo para la vista ...,2021-07-26T12:29:30Z,Aviario Rojo,"40.0, -3.7",https://www.youtube.com/watch?v=ZOi4AcAYmZU,3151.0,117.0,24.0,"te invito que te suscribas a mi canal de Youtube , relacionado con el mundo de los AGAPORNIS. 💕SALUDOS. https://www.youtube.com/channel/UC0-2wIgkPPC1pXvtSjtkFFg?sub_confirmation=1 | Mira el mas grande production de ninfas en africa | Chulada de animalito 😃👍 | Precioso  😍😍😍 | Preciosos colores y se ven enteros . | Que color¡¡ me encanta😍 | 😍😍😍 Espectacular | Precioso el color 😍😍😍👌👌👌 | 💯💯 | Espectacular!!!!!",Agapornis_fischeri,Agapornis fischeri,2021-07-26T12:29:30Z,,,2021-07-26 12:29:30,,GEO,,,,,Birds,alien,2008.0,,,,2008-06-01T12:00:00Z,After,True
Agapornis fischeri,6rN_scvb3K0,"Agapornis fischeri my friend Juan | Fischer&#39;s Lovebird (Agapornis fischeri)│ Karatu, Tanzania",,2022-02-16T00:56:10Z,Raees aviary,"40.0, -3.7",https://www.youtube.com/watch?v=6rN_scvb3K0,3601.0,68.0,14.0,Kea price hn bahi | Muy bien | Naic g | Very nice | Bointo | Bonito | Beautiful | Muy bien | 🇵🇰 پاکستان زندہ باد 🇵🇰 | ماشاءاللّٰه,Agapornis_fischeri,Agapornis fischeri,2022-02-16T00:56:10Z,de,,2022-02-16 00:56:10,,GEO,,,,,Birds,alien,2008.0,,,,2008-06-01T12:00:00Z,After,True
Agapornis fischeri,7TOhXVK4VBE,👉🏻 DISPONIBLE pareja de agapornis fischeri,,2023-07-14T17:40:18Z,Fran Robledo,"40.0, -3.7",https://www.youtube.com/watch?v=7TOhXVK4VBE,107.0,3.0,0.0,,Agapornis_fischeri,Agapornis fischeri,2023-07-14T17:40:18Z,,,2023-07-14 17:40:18,,GEO,,,,,Birds,alien,2008.0,,,,2008-06-01T12:00:00Z,After,True
Agapornis fischeri,FmIBHgK-OVQ,Parejita de Agapornis Fischeris que me llegaron de Holanda a Barcelona.,"Comiendo como locos. Pollo hervido, repollo crudo, pera, Nekton y mijo, tengo que esconderme para grabar, porque son ...",2016-09-27T14:44:45Z,Delia Agapornis,"39.6, 3.0",https://www.youtube.com/watch?v=FmIBHgK-OVQ,366.0,7.0,,,Agapornis_fischeri,Agapornis fischeri,2016-09-27T14:44:45Z,ca,Spain,2016-09-27 14:44:45,,GEO,,,,,Birds,alien,2008.0,,,,2008-06-01T12:00:00Z,After,True
Agapornis nigrigenis,HzgXOVwjzRg,Agapornis nigrigenis papilleros (Isi &amp; Ozzy),"El tiempo da sus frutos. Nunca he querido transmitir a la fuerza mis aficiones a mis hijos, pero ha llegado el momento en el que ...",2021-05-26T07:47:10Z,Alejandro Mola García-Galán (Agapornis AVIALE),"40.0, -3.7",https://www.youtube.com/watch?v=HzgXOVwjzRg,948.0,20.0,1.0,So cute❤,Agapornis_nigrigenis,Agapornis nigrigenis,2021-05-26T07:47:10Z,es,Spain,2021-05-26 07:47:10,,GEO,,,,,Birds,alien,2006.0,,,,2006-06-01T12:00:00Z,After,True
Agapornis nigrigenis,AO6Mwm1Wqf4,AVIGON 301,"30/11/2024 Pareja de Agapornis nigrigenis en Avigon, incluida en el Proyecto de cría en cautividad ""Anillos del Jaral""",2024-12-03T10:39:15Z,Gonzalo BC,"40.0, -3.7",https://www.youtube.com/watch?v=AO6Mwm1Wqf4,36.0,2.0,0.0,,Agapornis_nigrigenis,Agapornis nigrigenis,2024-12-03T10:39:15Z,es,Spain,2024-12-03 10:39:15,,GEO,,,,,Birds,alien,2006.0,,,,2006-06-01T12:00:00Z,After,True
